                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.6489,                0.09069,                0.05156,                0.37721,                0.94519,                  0.999,                      1,                  0.995,                0.85755,                  0.999,                      1,                  0.995,                  0.995,                0.66551,                0.04348,                0.00394,                0.33576,                 1.0186,              0.0015545,              0.0015545,              0.0015545
                     48,                0.66354,                0.09361,                0.04591,                0.37565,                0.94857,                0.99904,                      1,                  0.995,                0.82489,                0.99904,                      1,                  0.995,                0.99314,                0.69213,                0.04695,                0.00446,                0.32806,                 1.0364,              0.0015446,              0.0015446,              0.0015446
                     49,                0.65267,                0.09046,                0.04633,                0.37073,                0.93829,                0.99878,                      1,                  0.995,                0.84671,                0.99878,                      1,                  0.995,                  0.995,                0.71091,                  0.039,                0.00432,                 0.3417,                 1.0188,              0.0015347,              0.0015347,              0.0015347
                     50,                0.63685,                0.09371,                0.04255,                0.35249,                0.93742,                0.99908,                      1,                  0.995,                0.83163,                0.99908,                      1,                  0.995,                  0.995,                 0.7205,                0.04169,                0.00402,                0.32636,                 1.0231,              0.0015248,              0.0015248,              0.0015248
                     51,                0.66193,                0.09624,                0.05161,                0.36875,                0.94323,                0.99905,                      1,                  0.995,                0.84879,                0.99905,                      1,                  0.995,                  0.995,                0.70718,                0.04877,                0.00677,                0.34346,                 1.0263,              0.0015149,              0.0015149,              0.0015149
                     52,                0.64778,                0.08797,                0.05294,                0.36852,                0.95409,                0.99514,                      1,                  0.995,                0.86683,                0.99514,                      1,                  0.995,                 0.9945,                0.61967,                0.04557,                0.00549,                 0.3333,                 1.0037,               0.001505,               0.001505,               0.001505
                     53,                0.63954,                0.08862,                0.04917,                0.35666,                0.94474,                0.99912,                      1,                  0.995,                0.83291,                0.99912,                      1,                  0.995,                0.99298,                0.70196,                0.05522,                0.00351,                0.32201,                 1.0223,              0.0014951,              0.0014951,              0.0014951
                     54,                0.63369,                0.08564,                0.04795,                0.35586,                0.94361,                0.99871,                      1,                  0.995,                0.84751,                0.99871,                      1,                  0.995,                  0.995,                0.70248,                0.05233,                0.00487,                0.33235,                 1.0433,              0.0014852,              0.0014852,              0.0014852
                     55,                0.63724,                0.08132,                0.04404,                0.35574,                0.94055,                0.99873,                      1,                  0.995,                0.85132,                0.99873,                      1,                  0.995,                0.99429,                 0.6619,                0.04777,                0.00445,                0.31784,                 1.0118,              0.0014753,              0.0014753,              0.0014753
                     56,                0.64584,                0.08674,                0.03581,                 0.3533,                0.95256,                0.99899,                      1,                  0.995,                0.82023,                0.99899,                      1,                  0.995,                  0.995,                0.69344,                0.03602,                0.00328,                0.31872,                 1.0322,              0.0014654,              0.0014654,              0.0014654
                     57,                0.63144,                0.07818,                0.04542,                0.34568,                 0.9397,                0.99863,                      1,                  0.995,                0.84956,                0.99863,                      1,                  0.995,                  0.995,                0.69513,                0.04076,                0.00416,                0.33351,                 1.0246,              0.0014555,              0.0014555,              0.0014555
                     58,                0.64738,                0.08588,                0.04285,                0.35715,                0.95171,                0.99677,                      1,                  0.995,                0.84475,                0.99677,                      1,                  0.995,                  0.995,                0.66977,                0.04007,                 0.0045,                0.32882,                 1.0124,              0.0014456,              0.0014456,              0.0014456
                     59,                0.62399,                0.08626,                0.04398,                0.35482,                0.94288,                 0.9988,                      1,                  0.995,                0.85391,                 0.9988,                      1,                  0.995,                  0.995,                0.64716,                0.03096,                0.00587,                0.31862,                 1.0023,              0.0014357,              0.0014357,              0.0014357
                     60,                0.65286,                0.08673,                 0.0457,                0.36357,                0.95147,                 0.9991,                      1,                  0.995,                 0.8425,                 0.9991,                      1,                  0.995,                0.99308,                0.69014,                0.05096,                 0.0043,                0.32416,                 1.0236,              0.0014258,              0.0014258,              0.0014258
                     61,                0.63152,                0.08335,                0.04418,                 0.3554,                0.92652,                0.99905,                      1,                  0.995,                0.84417,                0.99905,                      1,                  0.995,                0.99114,                0.71064,                0.04366,                0.00769,                0.32021,                 1.0221,              0.0014159,              0.0014159,              0.0014159
                     62,                0.63457,                0.08078,                 0.0448,                0.35556,                0.92871,                 0.9991,                      1,                  0.995,                0.83234,                 0.9991,                      1,                  0.995,                0.99293,                0.70902,                0.04101,                0.00575,                0.32427,                 1.0186,               0.001406,               0.001406,               0.001406
                     63,                0.63835,                0.07652,                0.03731,                0.35598,                0.94458,                 0.9987,                      1,                  0.995,                0.84796,                 0.9987,                      1,                  0.995,                0.99306,                0.71058,                0.04118,                0.00365,                0.33379,                 1.0232,              0.0013961,              0.0013961,              0.0013961
                     64,                0.61684,                0.07761,                0.04194,                 0.3386,                0.92801,                 0.9991,                      1,                  0.995,                0.85126,                 0.9991,                      1,                  0.995,                  0.995,                0.65406,                0.04406,                0.00463,                0.31554,                 1.0085,              0.0013862,              0.0013862,              0.0013862
                     65,                0.61806,                0.07303,                0.04169,                0.33616,                0.92982,                0.99908,                      1,                  0.995,                0.84868,                0.99908,                      1,                  0.995,                  0.995,                0.68626,                0.03292,                0.00534,                0.31546,                 1.0109,              0.0013763,              0.0013763,              0.0013763
